Title,Company,Location,Work_Format,Salary,URL,Posted_Date,Qualifications,Search_Query,Parsing_Date,AVERSalary
Entry-Level Data Science Engineer (Tier 1 STEM Degree Required),FULLPRESS,United States,Not specified,"$55,000 a year",https://www.simplyhired.com/job/QJ54eGe79l69Gti5YGi1iXC01joJy1BQ9RMkF7p1TP4tRIc6jmtgCA,2025-11-04,"experience with python, sql, python",data scientist,2025-11-11 13:21:23,150.68493150684932
Data Scientist,Medicaid Done Right LLC,"Clearwater, FL",Not specified,,https://www.simplyhired.com/job/vRraiTKIhMB-WpNwKlwsK0o8dKZJFMaSTMk41TkxmWqyUdi-iFVwLQ,2025-11-10,"degree in computer science, data science",data scientist,2025-11-11 13:21:23,
Data Scientist,Yum! Brands,,Remote,,https://www.simplyhired.com/job/T2jyi6Wf1lU3hFJ2XyaHluLmg8_QsUcHYWPYP1Rvzag8dXgvVhOR0Q,2025-11-08,,data scientist,2025-11-11 13:21:24,
Data Scientist,Toyota,"Plano, TX",Not specified,,https://www.simplyhired.com/job/wOERFbaMaI7ylADgOMC1dK3MHGyR6HebW5YPC7QfewpyBuduuD54Tw,2025-11-05,,data scientist,2025-11-11 13:21:25,
Data Scientist,JPS Tech Solutions LLC,,Remote,$53 a hour,https://www.simplyhired.com/job/48FU4NZq7zl5mm5eX-szR8Ud5Vn4xbDHqGXiUbbhFgey4UkN6C6hxg,2025-11-10,data science,data scientist,2025-11-11 13:21:25,17808.0
Associate Data Scientist,NextEra Energy,"Palm Beach Gardens, FL",Not specified,,https://www.simplyhired.com/job/cA2v1LTQ3_hO-z20OfqmQbo9EYex3oJlyu9d5Ywef-W-FujO7DKsuw,2025-11-10,,data scientist,2025-11-11 13:21:25,
Junior Data Scientist,"Amwins Group, Inc.",,Remote,,https://www.simplyhired.com/job/NruT70A_IegQREBiJmdxUEAU8S7REaA2A39FSeIcktDZbuMdrnfNEw,,data science,data scientist,2025-11-11 13:21:25,
Data Scientist,Alston & Bird,"Atlanta, GA",Not specified,,https://www.simplyhired.com/job/4Fa_xBy7UUEP7DO4u8drsyqSJlNSo9UKSritT9iHwozVJqeCI8nfsA,2025-11-10,"data science, degree in data science",data scientist,2025-11-11 13:21:25,
Jr. Marketing Data Scientist,CDW,,Remote,"$84,000 - $116,800 a year",https://www.simplyhired.com/job/CkhlZ53BIGbZx1hoBIX51S2o9vRIC1RBvTk2BjLd6ngdwUgXJrYjVA,2025-11-09,"data science, degree in data science",data scientist,2025-11-11 13:21:26,275.06849315068496
(UP067) Data Scientist,Nearsure,,Remote,,https://www.simplyhired.com/job/uCuiP0w2A_lJRKazNBCRjBzbBkHu-lYcIU9OTfRjgMHWmB99eTRKzg,2025-10-29,degree in computer science,data scientist,2025-11-11 13:21:26,
AI and Data Rotational Engineer,Penn Engineering,"Danboro, PA",Not specified,,https://www.simplyhired.com/job/GH7dodiKqEN3Kibto373UPZU30WrbrY5hX_nqKFUE2Tiik0Y0TPk4g,2025-10-28,,data scientist,2025-11-11 13:21:26,
Data Scientist,Oracle,United States,Not specified,,https://www.simplyhired.com/job/Civp5d52qjK6d2Q_R4C-xkU26P0U4ZRAnW3PRh_i7PUK0QflaLQpbQ,2025-11-07,ai,data scientist,2025-11-11 13:21:26,
Data Scientist,Ford Motor Company,"Dearborn, MI",Not specified,,https://www.simplyhired.com/job/UQmMMDgnjhbm92nSb_gVqz4VvbyH5_YXoZ0Zo1xCqUDBk5zF8dCURw,2025-10-31,"sas, experience with one or more of the following tools, sql, python",data scientist,2025-11-11 13:21:26,
"Data Scientist, New Graduate",Duolingo,"Pittsburgh, PA",Not specified,"$123,300 - $166,800 a year",https://www.simplyhired.com/job/Ob2IT0ggYWL_L_H-ZU11RfWnFvk_qBNe40AJoZjGb2UKWHpv3Qkemg,,degree in a quantitative field ,data scientist,2025-11-11 13:21:27,397.3972602739726
Data Scientist(Early-Stage Startup),Prachub,,Remote,"$111,567 a year",https://www.simplyhired.com/job/d-O_QNB3nNEagZh5c4F3P0TGBq-oXsKESds6EXDA9IilMfwuAcEdhQ,,"degree in computer science, data science",data scientist,2025-11-11 13:21:36,305.66301369863015
"Data Scientist (Durham, NC)",FlexGen,"Durham, NC",Not specified,,https://www.simplyhired.com/job/lsVrB1ALZFVj-miY2l6tWr0H9-WCRzByRt7OWk37AMIZ7JxFrfIgVg,2025-11-07,,data scientist,2025-11-11 13:21:36,
Data Scientist,Southern Motor Carriers,"Peachtree City, GA",Not specified,,https://www.simplyhired.com/job/Tsky_hZPT4fH5GBSoPhTZ0K4bpiovkLkj_ihIdTnqF0rTtEzaR7Y2Q,2025-11-07,,data scientist,2025-11-11 13:21:37,
Data Scientist,MVP Group Inc,"Austin, TX",Not specified,"$75,000 - $85,000 a year",https://www.simplyhired.com/job/zdVpPW_i-FZsx7guextjNsODZMUmmGB0tyYE_RRJ6ZNs_gxFfiaCzA,2025-11-11,machine learning,data scientist,2025-11-11 13:21:37,219.17808219178082
Data Scientist,Calm.com,"San Francisco, CA",Not specified,"$147,600 - $205,000 a year",https://www.simplyhired.com/job/n-WZpIAQpZHQ-L-dy4aH2ijIJQbWQUNxgMn4jO4-1obGhAo1VPsJow,2025-11-05,,data scientist,2025-11-11 13:21:37,483.013698630137
Data Scientist,SimpleTire LLC,Pennsylvania,Not specified,"$92,000 - $110,000 a year",https://www.simplyhired.com/job/IWOGc0H69mIZ_JoTtUqhPy2AKFlW5BlGA92qzay-fMglx6G-lvH17g,,degree in a related field such as mathematics,data scientist,2025-11-11 13:21:37,276.71232876712327
Data Scientist,Experian,California,Not specified,,https://www.simplyhired.com/job/nz-mWHZ7pB5-nA3OMBqAMXfPmnSsxcBMJaozMAQYwK5voKIwmb7PWw,2025-11-08,"degree in computer science, ai, data science",data scientist,2025-11-11 13:21:37,
Data Scientist (ACF),TEKSKY LLC,,Remote,$75 - $90 a hour,https://www.simplyhired.com/job/QTAoGNzDargnQDtKHgONLvxrmMjjaKNlhiqJFoPuu8TXItt83UObfw,2025-10-28,"machine learning, data analysis",data scientist,2025-11-11 13:21:37,27720.0
Data Scientist- Data Cloud,Apple,"San Diego, CA",Not specified,,https://www.simplyhired.com/job/V2R9l9ebnNUqPWGTsx0BGiOw02SLRz8tkpbJ0CIe5sHfRSz65pT5ng,2025-11-10,"data science, sql",data scientist,2025-11-11 13:21:38,
Data Scientist I/II (Remote - US),BNSF Railway,,Remote,"$93,750 - $175,000 a year",https://www.simplyhired.com/job/7pimmHOBgxfJ_VGOI79R3bNjtxeXZfG75CpMgFcRnThLqW4ae5KhmQ,2025-11-08,experience with data visualization tools,data scientist,2025-11-11 13:21:38,368.1506849315069
