id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
126459449,Срочно!Руководитель отдела продаж в офис Краснодара,"Навыки коучинга и наставничества. Опыт совместной работы с маркетингом. Знание BI-систем (Power BI, Google <highlighttext>Data</highlighttext> Studio и др.). Вести стратегические сделки лично. Развивать команду: обучать, мотивировать, удерживать сильных. Работать в связке с маркетингом — совместные воронки, обратная связь, <highlighttext>аналитика</highlighttext>.",210055.0,RUR,Томилова Наталия Юрьевна,Краснодар,data analyst,Полная занятость,Очная,2025-10-13T11:43:31+0300,https://hh.ru/vacancy/126459449
127116191,Senior / Middle+ Java разработчик,"Опыт работы с Spring Framework (Boot, Web, <highlighttext>Data</highlighttext>, Security, Cloud). Опыт проектирования REST/gRPC API. Уверенное знание JPA/Hibernate, владение... Участие в DevOps-практиках, мониторинг и логирование (Prometheus, Grafana, ELK). Взаимодействие с <highlighttext>аналитиками</highlighttext>, QA, DevOps и архитекторами. (Для Lead-уровня...",165000.0,RUR,Линсофтверпродакшн,Краснодар,data analyst,Полная занятость,Удалённая,2025-10-29T16:24:44+0300,https://hh.ru/vacancy/127116191
125469449,Разработчик Java Core,"Знание и навык работы с Java Core обязательно. Уверенное знание SQL обязательно. Умение быстро разбираться в «чужом» коде.  ...Oracle в различных вариантах разных версий, Oracle Reports и не только). Доработка существующего функционала по техническим заданиям <highlighttext>аналитиков</highlighttext> и консультантов.",,,"ДИКСИ, группа компаний",Краснодар,data analyst,Полная занятость,Удалённая,2025-10-22T09:46:45+0300,https://hh.ru/vacancy/125469449
126795318,Специалист по парсингу,Навыки работы с базами данных и инструментами для анализа данных. Опыт работы в области парсинга данных от 1 до 3... Оптимизация процессов парсинга для повышения эффективности. Взаимодействие с командой разработчиков и <highlighttext>аналитиков</highlighttext> для интеграции данных в проекты. Обеспечение качества и...,100000.0,RUR,Студия 313,Краснодар,data analyst,Полная занятость,Очная,2025-11-02T18:31:51+0300,https://hh.ru/vacancy/126795318
127109382,Дата-инженер,Работали с DWH в качестве <highlighttext>аналитика</highlighttext> или разработчика минимум 5 лет. Понимаете теорию СУБД- и ETL-процессов. Знаете Python или... Участвовать в проектах по развитию <highlighttext>Data</highlighttext> Platform. Писать скрипты SQL и Python. Прорабатывать интеграции с внешними системами для <highlighttext>Data</highlighttext> Platform.,,,Т-Банк,Краснодар,data analyst,Полная занятость,Гибрид,2025-10-29T14:33:32+0300,https://hh.ru/vacancy/127109382
126390057,Аналитик данных / Data Analyst,"Опыт работы с инструментами анализа: MS Excel, Python (Pandas, PySpark). Опыт работы с SQL. Структурное аналитическое мышление, внимательность к деталям. Проводить глубокий анализ больших массивов данных. Разрабатывать и внедрять сложные аналитические модели. Предоставлять выводы и рекомендации для принятия стратегических бизнес...",,,"МАГНИТ, Розничная сеть",Краснодар,data analyst,Полная занятость,Очная,2025-10-10T10:36:02+0300,https://hh.ru/vacancy/126390057
126353092,Аналитик,"Необходимые знания и навыки:  высшее образование.  опыт работы с аналогичным функционалом от 2-х лет.  владение Excel продвинутый уровень, знание... сбор, анализ и структурирование данных.  формирование готовой <highlighttext>аналитики</highlighttext> и отчетов.  подготовка аналитических и презентационных материалов.  разработка инструментов для автоматизации или...",,,Деметра Трейдинг,Краснодар,data analyst,Полная занятость,Очная,2025-10-28T09:49:07+0300,https://hh.ru/vacancy/126353092
127115682,Специалист по работе с ИИ/нейрокреатор,"Практический опыт работы с современными AI-сервисами, такими как ChatGPT, MidJourney, Runway, Claude, Veo и аналогичными. Что мы ожидаем от... Создавать впечатляющие видео с помощью ИИ-технологий. — Разрабатывать имиджевые видеоматериалы и графику для товарных карточек на маркетплейсах с использованием ИИ...",100000.0,RUR,Уни Хаусс,Краснодар,data analyst,Полная занятость,Удалённая,2025-10-29T16:15:05+0300,https://hh.ru/vacancy/127115682
126120255,Маркетолог-аналитик,"Опыт работы с CRM, BI-системами (Power BI, Google <highlighttext>Data</highlighttext> Studio), рекламной <highlighttext>аналитикой</highlighttext>. - Умение анализировать большие объёмы данных, выявлять закономерности. -  Подготовка дашбордов и отчётов в Power BI, Google <highlighttext>Data</highlighttext> Studio, Excel. - Автоматизация отчётности и регулярное обновление ключевых показателей. - Формирование <highlighttext>аналитики</highlighttext>...",108500.0,RUR,ЧФК-Недвижимость,Краснодар,data analyst,Полная занятость,Очная,2025-10-27T10:33:57+0300,https://hh.ru/vacancy/126120255
127116665,CRM-маркетолог,"Опыт интеграции сервисов (в приоритете Mindbox) для коммуникаций, мессенджеров с CRM. Понимание принципов <highlighttext>data</highlighttext> driven. Умение анализировать большие объёмы данных... Настройка и автоматизация триггерных рассылок, цепочек писем. Внедрение новых каналов автокоммуникаций (боты, мессенджеры и их интеграция с сайтом).",130000.0,RUR,Клерк.Ру,Краснодар,data analyst,Полная занятость,Очная,2025-10-29T16:36:12+0300,https://hh.ru/vacancy/127116665
