id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
127199663,Ведущий менеджер по персоналу,Высшее образование (управление персоналом будет преимуществом). Опыт работы в сфере подбора и адаптации персонала от 3 лет. Умение работать с... Осуществлять полный цикл найма персонала категории «руководитель» и «топ-менеджер». Разрабатывать и внедрять стратегии по привлечению лучших кандидатов.,80000.0,RUR,Торговый дом ЛАВР,Челябинск,data analyst,Полная занятость,Очная,2025-11-01T07:33:23+0300,https://hh.ru/vacancy/127199663
126988120,Web Reverse-Engineer (Data Extraction - внутренний API wildberries),"3+ лет в web-reverse/<highlighttext>data</highlighttext>-scraping с упором на браузерные SPA (DevTools/Network/Sources). Уверенный разбор XHR/Fetch... Снять и разобрать HAR/Network, построить карту: экран → эндпоинт → параметры → ответ. Выявить обязательные заголовки/куки/anti-CSRF/подписи, расписать механику...",1000.0,RUR,Бабенков Павел Евгеньевич,Челябинск,data analyst,Частичная занятость,Удалённая,2025-10-27T13:06:43+0300,https://hh.ru/vacancy/126988120
125956775,Game Analyst/Игровой аналитик (Gamedev),"Любовь к играм, желание «копаться в данных» и анализировать поведение игроков. Умение искать закономерности, выдвигать гипотезы и проверять их на... Подготовка регулярных отчетов по проведенным анализам. Ведение логов проекта и мониторинг данных и метрик в Clickhouse. Ведение раздела <highlighttext>аналитики</highlighttext> в...",,,ROCKSTONE,Челябинск,data analyst,Полная занятость,Удалённая,2025-10-30T12:10:37+0300,https://hh.ru/vacancy/125956775
126784291,Ведущий маркетолог,"Умение работать с данными: <highlighttext>аналитика</highlighttext> продаж, веб-<highlighttext>аналитика</highlighttext> (Google Analytics, Яндекс.Метрика), оценка эффективности рекламных каналов. Навыки управления бюджетом и командой.  Разработка и внедрение комплексной маркетинговой стратегии на год с ежеквартальной детализацией. Проведение анализа рынка, конкурентов и целевой аудитории.",100000.0,RUR,Первый Гипермаркет Мебели,Челябинск,data analyst,Полная занятость,Очная,2025-10-21T14:55:07+0300,https://hh.ru/vacancy/126784291
126873928,.NET Разработчик (Middle),"Опыт разработки на WPF под .NET 6+/8: XAML, стили/ресурсы, команды, binding’ы, <highlighttext>data</highlighttext> templates. Понимание многопоточности в... Основная зона ответственности: WPF на .NET 8 с легаси‑кодовой базой. Распределение времени: 70–80% — WPF/desktop, 20–30% — backend...",,,Управляющая Компания Луч,Челябинск,data engineer,Полная занятость,Очная,2025-10-23T13:15:35+0300,https://hh.ru/vacancy/126873928
126911483,Инженер машинного обучения (Средний уровень/middle),"Бакалавр/Магистр ИТ/математики, <highlighttext>Data</highlighttext> Science. 2+ лет практики в ML (predictive modeling, time‑series, recommendation). Глубокое знание Python... Анализ бизнес‑задач и формулирование ML‑хипотез. Feature‑<highlighttext>engineering</highlighttext>, выбор и настройка алгоритмов (XGBoost, LightGBM, CatBoost, линейные модели).",200000.0,RUR,Челябинский кузнечно-прессовый завод (ЧКПЗ),Челябинск,data engineer,Полная занятость,Очная,2025-10-24T12:59:11+0300,https://hh.ru/vacancy/126911483
126918433,Руководитель группы,"Высокие аналитические способности и умение работать с большими объемами <highlighttext>данных</highlighttext>. Владение навыками проведение хронометражей. Аналитический склад ума и высокая обучаемость.  Контроль за своевременным предоставлением необходимой информации, материалов и статистических <highlighttext>данных</highlighttext>. - Анализ степени обоснованности и напряженности норм, анализ затрат рабочего времени...",150000.0,RUR,Челябинский цинковый завод,Челябинск,аналитик данных,Полная занятость,Очная,2025-10-24T15:13:01+0300,https://hh.ru/vacancy/126918433
127209550,Аналитик проектов строительного холдинга,"Аналитический склад ума, умение работать с большими массивами <highlighttext>данных</highlighttext>. Внимательность к деталям, высокая организованность и стрессоустойчивость. Опыт работы в строительной... Анализ и контроль выполнения сетевых графиков по строительным проектам компании. Мониторинг ключевых показателей проектов: сроки, документация, поставки материалов, заключение контрактов.",275000.0,RUR,Строймеханизация,Челябинск,аналитик данных,Полная занятость,Очная,2025-11-01T11:36:06+0300,https://hh.ru/vacancy/127209550
127195319,Младший менеджер по работе с маркетплейсом OZON,"Опыт работы от 1 года. Опыт работы с таблицами, отчётами. Хорошо знаком с интерфейсом Ozon, MPSTATS. Аналитический склад ума. Отслеживание метрик по результатам рекламных кампаний. Ведение учета. Работа с внутренней <highlighttext>аналитикой</highlighttext> Ozon. Поддержание рейтинга по карточкам товаров.",50000.0,RUR,Астраханцева Алина Евгеньевна,Челябинск,аналитик данных,Полная занятость,Удалённая,2025-10-31T18:54:27+0300,https://hh.ru/vacancy/127195319
126911320,"Менеджер по маркетплейсам (OZON, Wildberries, Яндекс.Маркет)","Полное ведение карточек товаров на площадках: OZON, Wildberries, Яндекс.Маркет. Подготовка контента: составление ТЗ для фотосъемки и написание продающих описаний.",70000.0,RUR,Галеон Трейд,Челябинск,аналитик данных,Полная занятость,Очная,2025-10-28T10:50:20+0300,https://hh.ru/vacancy/126911320
