id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
127117611,Аналитик данных,Расширение технических знаний и развитие из аналитика в <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext>. Пиши в сопроводительном письме свой уровень владения SQL и Python. Автоматизация выгрузки и сбора данных. - Ad/hoc запросы. - Визуализация отчетности для бизнеса. - Участие в создании информационной модели бизнеса. -,40000.0,RUR,КСК-Эйч Ар,Нижний Новгород,data scientist,Полная занятость,Удалённая,2025-11-01T16:55:15+0300,https://hh.ru/vacancy/127117611
126635251,Junior Data Scientist,"Проектный опыт работы с временными рядами или рядами регрессии от 1 года. ​​владение Python и SQL. Навыки работы с sklearn... Time Series Forecasting (ритейл: прогноз продаж, прогноз количества заказов). Анализировать и визуализировать данные, выявлять закономерности, представлять результаты. Предлагать и проводить...",,,1221Системс,Нижний Новгород,data scientist,Полная занятость,Удалённая,2025-10-17T08:15:43+0300,https://hh.ru/vacancy/126635251
127169805,Инженер данных,"Высшее образование (IT, математическое, техническое). Уверенное владение Python (pandas, numpy, pyspark, pyarrow, и др.). Знание экосистемы Hadoop. Знание SQL, реляционных... Совместная работа с командами аналитиков, <highlighttext>Data</highlighttext>-<highlighttext>Scientists</highlighttext> и разработчиков витрин. Управление кодом и пайплайнами через git, участие в code review...",76000.0,RUR,СБЕР,Нижний Новгород,data scientist,Полная занятость,Очная,2025-10-31T09:49:45+0300,https://hh.ru/vacancy/127169805
127233452,ML - инженер,"Профильное высшее финансовое, экономическое и/или математическое образование. Сильные знания в области математики / эконометрики и статистики. Опыт работы с большими... Поддерживать модели анализа данных (поведение клиентов, динамика портфеля, чувствительность к объему цен, оптимизация структуры продукта и другие модели) для принятия...",,,СБЕР,Нижний Новгород,data scientist,Полная занятость,Очная,2025-11-01T17:12:24+0300,https://hh.ru/vacancy/127233452
126138846,Специалист по цифровым технологиям аудита,Имеешь оконченное высшее образование или студент старших курсов. Можешь обрабатывать данные с помощью SQL или Excel/PowerQuery. Хочешь развить знания... Исследовать и анализировать большие неструктурированные объемы информации. Участвовать в аудиторских проверках по всем направлениям работы Сбера. Подготавливать рекомендации по улучшению...,63000.0,RUR,СБЕР,Нижний Новгород,data scientist,Полная занятость,Очная,2025-10-05T00:06:11+0300,https://hh.ru/vacancy/126138846
126793682,Data Engineer/ ML Engineer,"3+ лет в роли <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> / ML Engineer. Уверенное владение Python, pandas, scikit-learn, CatBoost/LightGBM. Опыт построения ETL... Сбор, очистка и агрегирование данных из разных источников. Настройка ETL-пайплайнов (Airflow/dbt, Python). Формирование обучающих выборок по изделиям, материалам...",250000.0,RUR,Технопарк,Нижний Новгород,data scientist,Полная занятость,Очная,2025-11-02T17:36:18+0300,https://hh.ru/vacancy/126793682
126507439,Эксперт по цифровым технологиям аудита,"Высшее образование или в том числе студент старших курсов. Опыт разработки на Python (мы работаем с pandas, regex, plotly, matplotlib... Проводить сбор данных и анализ бизнес-процессов Сбера. Участвовать в разработке AI ассистентов (для Process Mining исследований, для написания кода).",81000.0,RUR,СБЕР,Нижний Новгород,data scientist,Полная занятость,Очная,2025-10-14T10:57:49+0300,https://hh.ru/vacancy/126507439
126138847,Специалист по цифровым технологиям аудита,"Высшее образование или студент старших курсов. Опыт разработки на Python (мы работаем с pandas, regex, plotly, matplotlib, numpy, sklearn, pm... Проводить сбор данных и анализ бизнес-процессов Сбера. Участвовать в разработке AI ассистентов (для Process Mining исследований, для написания кода).",70000.0,RUR,СБЕР,Нижний Новгород,data scientist,Полная занятость,Очная,2025-10-05T00:06:50+0300,https://hh.ru/vacancy/126138847
127244399,Аналитик данных/Data Analyst,"Опыт работы <highlighttext>аналитиком</highlighttext> данных от 9 месяцев и выше. Развитое критическое и системное мышление, понимание основ теории вероятностей и математической... Работа в функциональной команде, нацеленной на развитие продаж. Работа с базами данных с целью оцифровки и разработки моделей прогнозирования.",90000.0,RUR,РУССМАРКЕТ,Нижний Новгород,data analyst,Полная занятость,Удалённая,2025-11-02T12:13:58+0300,https://hh.ru/vacancy/127244399
127089275,Аналитик баз данных/Data Analyst,Опыт работы от 3 лет в области анализа данных и бизнес-<highlighttext>аналитики</highlighttext>. Навыки оптимизации SQL-запросов и администрирования баз данных... Оптимизация и настройка SQL-запросов для повышения производительности баз данных. Мониторинг и администрирование базы данных для обеспечения их стабильной работы.,,,ЭвоКом,Нижний Новгород,data analyst,Полная занятость,Удалённая,2025-10-29T09:13:13+0300,https://hh.ru/vacancy/127089275
126793698,Python Developer,"2–4 года как Python Developer с ML-бэкграундом / <highlighttext>Data</highlighttext> Engineer. Уверенное владение Python, Pandas, SQL. Опыт с FastAPI (REST... Разработка и поддержка API расчёта изделий (FastAPI + SQLAlchemy). Интеграции с ML-моделями (REST/gRPC), сопровождение версий. Построение ETL-пайплайнов...",210000.0,RUR,Технопарк,Нижний Новгород,data analyst,Полная занятость,Очная,2025-11-02T17:36:28+0300,https://hh.ru/vacancy/126793698
126855947,Видеомонтажер / AI креатор (онлайн школа),"3+ года в видеомонтаже/моушене для соцсетей и рекламы. Опыт генерации AI-видео от 1 минуты с реалистичными людьми... Саунд-дизайн: подбор/сведение музыки и эффектов, чистка шума и дыхания, базовый мастеринг. Тренды и <highlighttext>аналитика</highlighttext>: мониторить тренды площадок, анализировать...",,,AnyClass,Нижний Новгород,data analyst,Полная занятость,Удалённая,2025-10-23T10:20:07+0300,https://hh.ru/vacancy/126855947
