id,title,description,avg_salary,currency,employer,city,search_query,employment,remote,published_at,url
126059294,Секретарь отдела координации и планирования,"Высшее образование : бизнес-<highlighttext>аналитика</highlighttext>, информационные технологии, технологические машины и оборудование - можно без опыта работы. Работа на аналогичной должности от 1... ...актов выполненных работ, проектов дополнительных соглашений. Систематизация, обработка и комплектование технической и проектной документации. Работа с Big <highlighttext>Data</highlighttext> в Excel.",,,Научно-исследовательский и проектный институт ПЕГАЗ,Уфа,data analyst,Полная занятость,Очная,2025-10-23T14:28:04+0300,https://hh.ru/vacancy/126059294
127097243,Дата-инженер,"Свободно владеете SQL. Работали с DWH в качестве <highlighttext>аналитика</highlighttext> или разработчика минимум 5 лет. Понимаете теорию СУБД- и ETL-процессов.  ...проектах по развитию <highlighttext>Data</highlighttext> Platform. Писать скрипты SQL и Python, это опционально. Прорабатывать интеграции с внешними системами для <highlighttext>Data</highlighttext> Platform.",,,Т-Банк,Уфа,data analyst,Полная занятость,Очная,2025-10-29T11:17:09+0300,https://hh.ru/vacancy/127097243
122028399,Аналитик отчетных систем DWH,"Базовые знания теории в области ХД. Хорошие знания SQL, PL/SQL (чтение и написание запросов любой сложности; понимание и умение... Анализ требований от заказчика в рамках задач по построению отчетных витрин на базе Хранилища данных (ХД). Исследование источников данных, анализ...",,,Совкомбанк Технологии,Уфа,data analyst,Полная занятость,Очная,2025-10-29T05:38:39+0300,https://hh.ru/vacancy/122028399
127141879,Middle+ / Senior ML-инженер,"Опыт работы с GPT и NLP. Уверенное знание <highlighttext>data</highlighttext> science stack (numpy, scipy, scikit-learn, pandas и др.).  Этапы отбора: Анкета. Первичное интервью. Техническое интервью. Оффер.",275000.0,RUR,Линсофтверпродакшн,Уфа,data analyst,Полная занятость,Удалённая,2025-10-30T12:30:10+0300,https://hh.ru/vacancy/127141879
125084343,Директор по продажам,"Лидерство и коммуникации: умеете мотивировать, давать обратную связь и достигать результата. <highlighttext>Data</highlighttext>-driven подход: аналитическое мышление, решения на основе метрик... Клиентский сервис и стандарты: выстраивание и оптимизация модели работы с клиентами, разработка и внедрение стандартов обслуживания и взаимодействия. <highlighttext>Аналитика</highlighttext> рынка...",200000.0,RUR,Единый центр поддержки Мое право,Уфа,data analyst,Полная занятость,Очная,2025-10-23T09:25:02+0300,https://hh.ru/vacancy/125084343
127115679,Middle+ / Senior Data-аналитик,"4+ лет опыта в роли <highlighttext>Data</highlighttext> <highlighttext>Analyst</highlighttext> или BI Developer. Высшее образование (математика / информатика / ИТ). Продвинутый уровень SQL, опыт... Проектирование и создание аналитических витрин данных (<highlighttext>Data</highlighttext> Marts). Разработка и оптимизация SQL-запросов для <highlighttext>аналитики</highlighttext>, агрегаций и бизнес-метрик.",250000.0,RUR,Линсофтверпродакшн,Уфа,data analyst,Полная занятость,Удалённая,2025-10-29T16:15:03+0300,https://hh.ru/vacancy/127115679
126346405,Data Science engineer (инженер машинного обучения),"Опыт работы с языками Python, R, SQL. Опыт создания и внедрения моделей машинного обучения. Знание библиотек и фреймворков (Pandas, NumPy... Разработка алгоритмов обработки и анализа больших объемов данных. Создание моделей машинного обучения для прогнозирования и оптимизации процессов. Работа с различными...",127500.0,RUR,"Алабуга, ОЭЗ ППТ",Уфа,data engineer,Полная занятость,Очная,2025-10-27T14:53:48+0300,https://hh.ru/vacancy/126346405
127252045,Аналитик информационных потоков,Знание методов сбора и обработки <highlighttext>данных</highlighttext>. Навыки работы с BI‑инструментами и базами <highlighttext>данных</highlighttext>. Понимание принципов статистического анализа.  Собирать и анализировать данные из открытых и закрытых источников. Выявлять закономерности и аномалии в информационных потоках. Готовить дашборды и визуализировать...,100000.0,RUR,Ахметьянов Артур Адегамович,Уфа,аналитик данных,Полная занятость,Очная,2025-11-03T12:12:04+0300,https://hh.ru/vacancy/127252045
126733422,Менеджер маркетплейсов / Начинающий SEO специалист,"С опытом и без опыта, но с навыками SEO-продвижения, или с небольшим опытом в сфере маркетплейсов, прошедших обучение, уверенно... Оформление страниц магазина на маркетплейсах. Создание и оформление карточек товаров, актуализация информации. Продвижение товаров внутри маркетплейсов: подбор маркетинговых инструментов, ключевых...",40000.0,RUR,Эво.Store,Уфа,аналитик данных,Полная занятость,Очная,2025-10-20T14:26:03+0300,https://hh.ru/vacancy/126733422
126968871,Аналитик данных,"Высшее образование. Опыт работы по профилю от 2ух лет. Знание SQL и Python. Разработка аналитических дашбордов в BI системе. Проверка гипотез, поиск инсайтов и закономерностей в <highlighttext>данных</highlighttext>. Анализ отдельных процессов по запросу, разработка...",,,БАНК УРАЛСИБ,Уфа,аналитик данных,Полная занятость,Очная,2025-10-27T10:28:36+0300,https://hh.ru/vacancy/126968871
125078583,Golang Developer (Уфа),"Понимаете, что такое ООП, шаблоны проектирования. Знакомы с основными алгоритмами, структурами <highlighttext>данных</highlighttext>. Понимаете необходимости и умение покрывать код тестами.  TAGES работает на рынке IT с 2012 года. Компания занимается проектированием, разработкой и поддержкой digital-решений для автоматизации бизнеса.",96700.0,RUR,Тагес Джамп,Уфа,аналитик данных,Полная занятость,Очная,2025-10-09T08:42:15+0300,https://hh.ru/vacancy/125078583
126702158,Менеджер по работе с клиентами (оператор),"Грамотная устная и письменная речь. Уверенный пользователь ПК и оргтехники. Опыт работы с клиентами, в продажах или в таксопарке будет... Приём входящих звонков и обращений от водителей (без холодных звонков). Консультации по условиям аренды и наличию свободных автомобилей.",60000.0,RUR,Транспортная компания Поехали,Уфа,аналитик данных,Полная занятость,Очная,2025-10-27T13:36:18+0300,https://hh.ru/vacancy/126702158
126800106,Младший менеджер по работе с маркетплейсом OZON /Специалист по работе с ОЗОН,"...от 6 месяцев. Владение Google-таблицами и Excel. Умение проводить АВС-анализ. Опыт работы с сервисами <highlighttext>аналитики</highlighttext>. Наличие успешных кейсов. Планирование поставок и контроль остатков на складах. Работа с сервисами <highlighttext>аналитики</highlighttext>. Работа с отзывами, вопросами, тех поддержкой. Работа по план...",60000.0,RUR,Игнатьева Мария Романовна,Уфа,аналитик данных,Полная занятость,Удалённая,2025-10-22T06:13:05+0300,https://hh.ru/vacancy/126800106
127170903,Контент-менеджер / SMM,"Опыт в SMM/контенте от 1 года: контент-план, публикации, базовый монтаж, тексты. Портфолио (или 3–5 примеров Reels/Shorts... Инфлюенс-маркетинг: подбор микроблогеров, бартер/интеграции, UGC. <highlighttext>Аналитика</highlighttext>: отчёт по метрикам (охваты, ER, переходы/лиды), гипотезы и доработки.",60000.0,RUR,ПивМастер,Уфа,аналитик данных,Полная занятость,Удалённая,2025-10-31T10:08:35+0300,https://hh.ru/vacancy/127170903
127026919,Руководитель отдела продаж,"Опытный строитель: у вас есть доказанный опыт построения или реорганизации отдела продаж «с нуля», именно в удаленном/дистанционном формате.  Ты не будешь «поддерживать процессы». Ты будешь их создавать с чистого листа. Давайте строить великий отдел продаж вместе!",150000.0,RUR,Анкор,Уфа,аналитик данных,Полная занятость,Очная,2025-10-27T18:06:50+0300,https://hh.ru/vacancy/127026919
125724900,Проджект-менеджер,"Обязательные (Hard Skills & Experience): Опыт работы от 6 месяцев до 2 лет в маркетинге на позиции: проектный менеджер, маркетинг-менеджер... Формирование гипотез для улучшения результатов на основе <highlighttext>данных</highlighttext>. Подготовка итоговых отчетов по завершении проектов с выводом: «Реализовали Х, что привело...",75000.0,RUR,KINGSTORE,Уфа,аналитик данных,Полная занятость,Очная,2025-11-03T10:15:52+0300,https://hh.ru/vacancy/125724900
126616243,Системный аналитик,"Опыт работы системным <highlighttext>аналитиком</highlighttext> от 2 лет. Навыки декомпозиции процессов и написания технических заданий. Навык верхнеуровнего проектирования систем.  Составление ТЗ для разработчиков. Участие в построении архитектуры и схем взаимодействий. Создание структур <highlighttext>данных</highlighttext>, описание алгоритмов обработки <highlighttext>данных</highlighttext>.",,,Т-Банк,Уфа,аналитик данных,Полная занятость,Гибрид,2025-10-16T14:51:45+0300,https://hh.ru/vacancy/126616243
127137524,Аналитик продуктовой торговой сети,"Навык эффективной коммуникации и презентации выводов руководству. Уверенный пользователь Excel. Владение инструментами анализа <highlighttext>данных</highlighttext> (SQL, Python/Pandas, Excel/VBA, Power... Анализ товарных категорий и потребительских предпочтений. АВС анализ ассортимента. Анализ рыночной ситуации и конкурентной среды. Анализ эффективности промо-акций.",70000.0,RUR,PRO-движение,Уфа,аналитик данных,Полная занятость,Очная,2025-10-30T11:15:45+0300,https://hh.ru/vacancy/127137524
126962865,Менеджер по закупкам (строительство),"Опыт проведения конкурентных закупок. Опыт работы на электронных торгах. Опыт проведения <highlighttext>аналитики</highlighttext> по подбору поставщиков. Умение считать сметы.  Сбор предложений и анализ цен на материалы, подготовка <highlighttext>данных</highlighttext> и проведение тендеров. Ведение и расширение базы подрядчиков по строительным материалам...",,,УК ТАВРОС,Уфа,аналитик данных,Полная занятость,Очная,2025-10-27T09:12:13+0300,https://hh.ru/vacancy/126962865
127171717,Менеджер проектов (запуск бизнеса в Казахстане и Узбекистане),"Владеет ключевыми навыками поиска и анализа: Умеет искать информацию, анализировать, систематизировать и делать выводы из больших объемов <highlighttext>данных</highlighttext>.  <highlighttext>Аналитика</highlighttext> и систематизация: самостоятельно искать, анализировать и структурировать разрозненную информацию (правовые, налоговые, административные требования) для регистрации и запуска юрлиц в...",150000.0,RUR,Шумейко Дмитрий Евгеньевич,Уфа,аналитик данных,Полная занятость,Удалённая,2025-10-31T10:22:43+0300,https://hh.ru/vacancy/127171717
127085898,Бизнес-аналитик,"Имеете высокий уровень soft-skills, такие как коммуникация, умение работать в команде, критическое мышление, тайм-менеджмент, проявление эмпатии, организаторские способности... Погружение в предметную область, в целях сбора информации/<highlighttext>данных</highlighttext> у участников и заинтересованных лиц бизнес-процесса. Работы по производству стартовали...",,,Удоканская медь,Уфа,аналитик данных,Полная занятость,Удалённая,2025-10-29T07:54:37+0300,https://hh.ru/vacancy/127085898
126574797,Менеджер отдела продаж,"Опыт работы от 1 до 3 лет в продажах. Многозадачность. Умение работать в команде. Готовность к командировкам. Поиск новых клиентов при помощи звонков, знакомств и рассылок. Заполнение <highlighttext>данных</highlighttext> в CRM. Обзвон существующей клиентской базы. Проведение презентаций.",115000.0,RUR,VETVI,Уфа,аналитик данных,Полная занятость,Очная,2025-10-15T16:08:44+0300,https://hh.ru/vacancy/126574797
127177776,Старший бухгалтер,"Своевременная сдача отчетности в налоговые органы, фонды социального страхования и банки. <highlighttext>Аналитика</highlighttext> и консультирование. Анализ финансовых показателей и бухгалтерских <highlighttext>данных</highlighttext>.",70000.0,RUR,ГК Пышка,Уфа,аналитик данных,Полная занятость,Очная,2025-10-31T12:12:54+0300,https://hh.ru/vacancy/127177776
